nomBénéficiaire,idBeneficiaire,montant,objet,datesPériodeVersement,montant_reuse,nature,datepublication,dateConvention,nomAttribuant,idAttribuant
Agence de Développement Touristique,78184375000055.0,180000,Aide au fonctionnement,2023-06-29/2023-12-29,Entre 100 000€ et 500 000€,aide en numéraire,45216,45106,BORDEAUX METROPOLE,24330031600011.0
AGENCE DE DEVELOPPEMENT TOURISTIQUE DE LA GIRONDE,78184375000055.0,180000,Aide au fonctionnement,2025-05-05 / 2025-11-05,Entre 100 000€ et 500 000€,Aide en numéraire,45695,45782,BORDEAUX METROPOLE,24330031600011.0
Agence de développement touristique de la Gironde,78184375000055.0,180000,aide au fonctionnement,2024-03-04/2024-09-04,Entre 100 000€ et 500 000€,aide en numéraire,45386,45355,BORDEAUX METROPOLE,24330031600011.0
AGENCE DEVELOPPEMENT TOURISTIQUE,78184375000048.0,180000,Fonctionnement,2019-02-18/2019-08-18,Entre 100 000€ et 500 000€,aide en numéraire,43557,43514,BORDEAUX METROPOLE,24330031600011.0
AGENCE LOCALE ENERGIE,49500944100033.0,250000,S.A.R.E  2022,2022-07-12/2023-01-12,Entre 100 000€ et 500 000€,aide en numéraire,44805,44754,BORDEAUX METROPOLE,24330031600011.0
AGENCE QUALITE CONSTRUCTION,32721569500070.0,52000,Fonctionnement,2021-06-01/2021-12-01,Entre 30 000€ et 100 000€,aide en numéraire,44418,44348,BORDEAUX METROPOLE,24330031600011.0
AGENCE QUALITE CONSTRUCTION,32721569500047.0,52000,Subvention de fonctionnement,2022-07-28/2023-01-28,Entre 30 000€ et 100 000€,aide en numéraire,44897,44770,BORDEAUX METROPOLE,24330031600011.0
AGENCE QUALITE CONSTRUCTION AQC,32721569500047.0,49000,Bien construire,2019-01-15/2019-07-15,Entre 30 000€ et 100 000€,aide en numéraire,43502,43480,BORDEAUX METROPOLE,24330031600011.0
AGIR ABCD,33145778800619.0,20000,AAP SOLIDARITE EAU,2024-12-20/2025-06-20,Inférieur à 30 000€,aide en numéraire,45673,45646,BORDEAUX METROPOLE,24330031600011.0
Agri SO,49919608700070.0,30000,Aide au fonctionnement,2023-06-08/2023-12-08,Inférieur à 30 000€,aide en numéraire,45097,45085,BORDEAUX METROPOLE,24330031600011.0
AGRI SO INNOVATION,49919608700070.0,30000,Subvention de fonctionnement,2022-04-20/2022-10-20,Inférieur à 30 000€,aide en numéraire,44713,44671,BORDEAUX METROPOLE,24330031600011.0
AGRI Sud Ouest Innovation,49919608700070.0,30000,aide au fonctionnement,2024-06-06/2024-12-06,Inférieur à 30 000€,aide en numéraire,45537,45449,BORDEAUX METROPOLE,24330031600011.0
AGRI SUD OUEST INNOVATION,49919608700070.0,28500,Aide au fonctionnement,2025-05-26 / 2025-11-26,Inférieur à 30 000€,Aide en numéraire,45695,45803,BORDEAUX METROPOLE,24330031600011.0
ALEC,49500944100033.0,137000,Fonctionnement,2019-06-12/2019-12-12,Entre 100 000€ et 500 000€,aide en numéraire,43724,43628,BORDEAUX METROPOLE,24330031600011.0
ALEC,49500944100041.0,262500,SARE 2024,2024-08-06/2025-02-06,Entre 100 000€ et 500 000€,aide en numéraire,45673,45510,BORDEAUX METROPOLE,24330031600011.0
ALEC,49500944100033.0,137000,Aide au fonctionnement,2023-04-13/2023-10-13,Entre 100 000€ et 500 000€,aide en numéraire,45097,45029,BORDEAUX METROPOLE,24330031600011.0
ALEC,49500944100033.0,137000,Subvention de fonctionnement,2022-05-02/2022-11-02,Entre 100 000€ et 500 000€,aide en numéraire,44805,44683,BORDEAUX METROPOLE,24330031600011.0
ALEC,49500944100033.0,82800,déploiement PCAET,2019-03-08/2019-09-08,Entre 30 000€ et 100 000€,aide en numéraire,43557,43532,BORDEAUX METROPOLE,24330031600011.0
ALEC,49500944100033.0,82800,Accompagnement stratégies énergétiques,2022-05-10/2022-11-10,Entre 30 000€ et 100 000€,aide en numéraire,44805,44691,BORDEAUX METROPOLE,24330031600011.0
ALEC,49500944100000.0,82800,Fonctionnement renouvel. 2020,2019-03-08/2019-09-08,Entre 30 000€ et 100 000€,aide en numéraire,43984,43532,BORDEAUX METROPOLE,24330031600000.0
ALEC,49500944100033.0,60000,Ma rénov Bordeaux Métropole,2021-07-08/2022-01-08,Entre 30 000€ et 100 000€,aide en numéraire,44550,44385,BORDEAUX METROPOLE,24330031600011.0
ALLIANCE SANTE INNOVATION NOUVELLE AQUITAINE,88319642000011.0,10000,Programme d'actions 2022,2022-01-03/2022-07-03,Inférieur à 30 000€,aide en numéraire,44624,44564,BORDEAUX METROPOLE,24330031600011.0
ALPHA,47941474000049.0,57000,Fonctionnement,2019-06-19/2019-12-19,Entre 30 000€ et 100 000€,aide en numéraire,43724,43635,BORDEAUX METROPOLE,24330031600011.0
ALPHA,82775559600018.0,57000,Fonctionnement,2020-11-20/2021-05-20,Entre 30 000€ et 100 000€,aide en numéraire,44518,44155,BORDEAUX METROPOLE,24330031600011.0
ALPHA,82775559600018.0,97000,Subvention de fonctionnement,2022-04-13/2022-10-13,Entre 30 000€ et 100 000€,aide en numéraire,44713,44664,BORDEAUX METROPOLE,24330031600011.0
ALPHA,82775559600018.0,92150,Aide au fonctionnement,2025-07-07 / 2026-01-07,Entre 30 000€ et 100 000€,Aide en numéraire,45911,45845,BORDEAUX METROPOLE,24330031600011.0
Alpha Route des Lasers et des Hyperfréquences,82775559600018.0,97000,aide au fonctionnement,2024-05-15/2024-11-15,Entre 30 000€ et 100 000€,aide en numéraire,45537,45427,BORDEAUX METROPOLE,24330031600011.0
Alpha Route des Lasers et des Hyperfréquences,82775559600018.0,97000,Aide au fonctionnement,2023-05-11/2023-11-11,Entre 30 000€ et 100 000€,aide en numéraire,45097,45057,BORDEAUX METROPOLE,24330031600011.0
AMANIEU DE BOULIAC,42283936500018.0,6500,Les médiévales de Bouliac,2021-07-04/2022-01-04,Inférieur à 30 000€,aide en numéraire,44418,44381,BORDEAUX METROPOLE,24330031600011.0
AMANIEU DE BOULIAC,42283936500000.0,6500,Les médiévales de Bouliac,2020-04-06/2020-10-06,Inférieur à 30 000€,aide en numéraire,43984,43927,BORDEAUX METROPOLE,24330031600000.0
AMANIEU DE BOULIAC,42283936500018.0,6500,Les médiévales,2022-06-23/2022-12-23,Inférieur à 30 000€,aide en numéraire,44805,44735,BORDEAUX METROPOLE,24330031600011.0
AMANIEU DE BOULIAC,42283936500018.0,6500,Médiévales,2019-08-26/2020-02-26,Inférieur à 30 000€,aide en numéraire,43724,43703,BORDEAUX METROPOLE,24330031600011.0
AMIS DE LA BASILIQUE SAINT SEURIN,91525690300013.0,125000,Aide à l'investissement,2025-08-20 / 2026-02-20,Entre 100 000€ et 500 000€,Aide en numéraire,45911,45889,BORDEAUX METROPOLE,24330031600011.0
APF France HANDICAP,77568873208239.0,500,CCSPL,2020-10-01/2021-04-01,Inférieur à 30 000€,aide en numéraire,44418,44105,BORDEAUX METROPOLE,24330031600011.0
APREVA,52144292100024.0,17500,AAP Emploi et Quartier,2024-02-12/2024-08-12,Inférieur à 30 000€,aide en numéraire,45386,45334,BORDEAUX METROPOLE,24330031600011.0
AQUINETIC,51482209700028.0,20000,manifestation B BOOST,2018-11-28/2019-05-28,Inférieur à 30 000€,aide en numéraire,43557,43432,BORDEAUX METROPOLE,24330031600011.0
Aquitaine Chimie Durable,52898001400021.0,30000,Aide au fonctionnement,2023-05-05/2023-11-05,Inférieur à 30 000€,aide en numéraire,45097,45051,BORDEAUX METROPOLE,24330031600011.0
AQUITAINE CHIMIE DURABLE,52898001400021.0,30000,Subvention de fonctionnement,2022-04-19/2022-10-19,Inférieur à 30 000€,aide en numéraire,44713,44670,BORDEAUX METROPOLE,24330031600011.0
AQUITAINE CHIMIE DURABLE,52898001400021.0,28500,Aide au fonctionnement,2025-05-09 / 2025-11-09,Inférieur à 30 000€,Aide en numéraire,45695,45786,BORDEAUX METROPOLE,24330031600011.0
Aquitaine Chimie Durable NA,52898001400021.0,30000,aide au fonctionnement,2024-05-27/2024-11-27,Inférieur à 30 000€,aide en numéraire,45537,45439,BORDEAUX METROPOLE,24330031600011.0
AQUITANIS,39873148900033.0,76388,Aide à l'investissement 1M Arbres,2025-05-26 / 2025-11-26,Entre 30 000€ et 100 000€,Aide en numéraire,45695,45803,BORDEAUX METROPOLE,24330031600011.0
AQUITEC,39061052500029.0,26000,Fonctionnement,2019-01-31/2019-07-31,Inférieur à 30 000€,aide en numéraire,43502,43496,BORDEAUX METROPOLE,24330031600011.0
AQUITEC,39061052500029.0,21000,Salon formation,2021-01-27/2021-07-27,Inférieur à 30 000€,aide en numéraire,44229,44223,BORDEAUX METROPOLE,24330031600011.0
AQUITEC,39061052500000.0,21000,Salon AQUITEC,2020-01-27/2020-07-27,Inférieur à 30 000€,aide en numéraire,43887,43857,BORDEAUX METROPOLE,24330031600000.0
AQUITEC,39061052500029.0,21000,Subvention de Fonctionnement,2022-10-25/2023-04-25,Inférieur à 30 000€,aide en numéraire,44897,44859,BORDEAUX METROPOLE,24330031600011.0
ARBRES ET PAYSAGES,40289121200035.0,5665,Subvention d'investissement,2022-10-25/2023-04-25,Inférieur à 30 000€,aide en numéraire,44897,44859,BORDEAUX METROPOLE,24330031600011.0
ARC EN REVE,32123703400012.0,407253,Fonctionnement,2021-07-27/2022-01-27,Entre 100 000€ et 500 000€,aide en numéraire,44418,44404,BORDEAUX METROPOLE,24330031600011.0
ARC EN REVE,32123703400012.0,407253,programme d'actions,2019-07-05/2020-01-05,Entre 100 000€ et 500 000€,aide en numéraire,43724,43651,BORDEAUX METROPOLE,24330031600011.0
ARC EN REVE,32123703400012.0,80000,Exposition Commun,2022-06-02/2022-12-02,Entre 30 000€ et 100 000€,aide en numéraire,44805,44714,BORDEAUX METROPOLE,24330031600011.0
ARC EN REVE,32123703400012.0,407000,Subvention de fonctionnement,2022-06-02/2022-12-02,Entre 100 000€ et 500 000€,aide en numéraire,44805,44714,BORDEAUX METROPOLE,24330031600011.0
